2017-10-24 aai085.csv,,amir,24/10/2017 16:16:11,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.5015
202,1.4556
204,1.4095
206,1.3514
208,1.2677
210,1.165
212,1.0408
214,.9059
216,.7608
218,.6241
220,.492
222,.3808
224,.2681
226,.181
228,.137
230,.111
232,.079
234,.0481
236,.027
238,.0143
240,.0061
242,.0024
244,0
246,-.0022
248,-.0029
250,-.0033
252,-.0041
254,-.0044
256,-.0049
258,-.005
260,-.0046
262,-.0048
264,-.0049
266,-.0049
268,-.005
270,-.005
272,-.0051
274,-.0052
276,-.005
278,-.0051
280,-.0053
282,-.005
284,-.0051
286,-.0046
288,-.0043
290,-.0035
292,-.0029
294,-.0028
296,-.0024
298,-.0014
300,-.0014
302,-.0014
304,-.0013
306,-.0013
308,-.0015
310,-.0014
312,-.0016
314,-.0014
316,-.0016
318,-.0018
320,-.0019
322,-.0019
324,-.0022
326,-.002
328,-.0032
330,-.0029
332,-.0029
334,-.0027
336,-.0033
338,-.0029
340,-.0026
342,-.003
344,-.0029
346,-.003
348,-.0029
350,-.0028
352,-.0027
354,-.0023
356,-.0021
358,-.0022
360,-.0021
362,-.0022
364,-.0018
366,-.0027
368,-.0022
370,-.003
372,-.0028
374,-.0025
376,-.0029
378,-.0019
380,-.0025
382,-.0024
384,-.0021
386,-.0022
388,-.0021
390,-.0022
392,-.0024
394,-.0021
396,-.002
398,-.0022
400,-.0019
402,-.0021
404,-.0022
406,-.0019
408,-.0019
410,-.0021
412,-.002
414,-.002
416,-.0022
418,-.0021
420,-.0019
422,-.0021
424,-.0019
426,-.0019
428,-.0021
430,-.002
432,-.002
434,-.0019
436,-.0017
438,-.0021
440,-.0022
442,-.002
444,-.0018
446,-.0017
448,-.0017
450,-.0016
452,-.0016
454,-.0016
456,-.0015
458,-.0016
460,-.0016
462,-.0015
464,-.0014
466,-.0016
468,-.0015
470,-.0015
472,-.0015
474,-.0014
476,-.0012
478,-.0012
480,-.0016
482,-.0014
484,-.0014
486,-.0015
488,-.0012
490,-.0011
492,-.0015
494,-.0012
496,-.0013
498,-.0012
500,-.0015
502,-.0017
504,-.0013
506,-.002
508,-.002
510,-.002
512,-.0018
514,-.0013
516,-.0014
518,-.0014
520,-.0013
522,-.0018
524,-.0011
526,-.0014
528,-.0014
530,-.0013
532,-.0013
534,-.0012
536,-.0012
538,-.0011
540,-.0012
542,-.0013
544,-.001
546,-.0014
548,-.0018
550,-.0017
552,-.002
554,-.0015
556,-.0019
558,-.0015
560,-.0018
562,-.0016
564,-.0018
566,-.0016
568,-.0013
570,-.0019
572,-.0017
574,-.0016
576,-.0014
578,-.0015
580,-.0022
582,-.0011
584,-.0014
586,-.0018
588,-.0017
590,-.0012
592,-.001
594,-.0017
596,-.0016
598,-.0019
600,-.0011
602,-.0012
604,-.0017
606,-.0008
608,-.0011
610,-.0015
612,-.0016
614,-.0011
616,-.001
618,-.0009
620,-.0012
622,-.0002
624,-.0007
626,-.0012
628,-.0011
630,-.0006
632,-.0005
634,-.0005
636,-.0004
638,-.0011
640,-.0008
642,-.0008
644,-.0003
646,-.001
648,-.0006
650,-.0006
652,-.0011
654,-.0009
656,-.0005
658,-.0014
660,-.0011
662,-.0007
664,-.0011
666,.0001
668,-.0012
670,-.0009
672,-.0011
674,-.0016
676,-.0015
678,-.0011
680,-.0008
682,-.0005
684,-.0014
686,-.0015
688,-.0011
690,-.0013
692,-.0011
694,-.0009
696,-.0012
698,-.0011
700,-.0014
702,-.0009
704,-.0009
706,-.0012
708,-.0008
710,-.0009
712,-.0005
714,-.0002
716,-.0005
718,-.0001
720,-.0011
722,-.0002
724,-.0014
726,-.0003
728,-.0011
730,-.0005
732,-.0018
734,-.0006
736,-.0006
738,-.0002
740,0
742,-.0005
744,.0004
746,-.0017
748,-.0003
750,-.0003
752,.0001
754,-.0012
756,-.0007
758,0
760,-.0009
762,-.0016
764,-.0006
766,-.0008
768,-.0008
770,-.0014
772,-.0016
774,-.0017
776,.0005
778,-.001
780,-.0014
782,-.0004
784,-.0003
786,-.0008
788,-.0001
790,.0002
792,-.0009
794,-.0013
796,-.0004
798,-.0013
800,.0006
