2017-10-24 qp0060.csv,,amir,24/10/2017 17:50:25,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.3681
202,2.3314
204,2.29
206,2.2179
208,2.0999
210,1.953
212,1.7552
214,1.5312
216,1.297
218,1.063
220,.8444
222,.6554
224,.4592
226,.3162
228,.2426
230,.1959
232,.1395
234,.0857
236,.0505
238,.0284
240,.0138
242,.0077
244,.0033
246,-.0006
248,-.0021
250,-.0035
252,-.0046
254,-.0052
256,-.0061
258,-.0066
260,-.0064
262,-.0066
264,-.0069
266,-.0072
268,-.0075
270,-.0073
272,-.0076
274,-.0078
276,-.0082
278,-.0083
280,-.0082
282,-.0084
284,-.0084
286,-.0078
288,-.0071
290,-.0063
292,-.0051
294,-.0047
296,-.0039
298,-.003
300,-.0029
302,-.0026
304,-.0024
306,-.0025
308,-.0025
310,-.0025
312,-.0023
314,-.0027
316,-.0027
318,-.0029
320,-.0029
322,-.0032
324,-.0031
326,-.0033
328,-.0041
330,-.0039
332,-.0039
334,-.0038
336,-.0042
338,-.004
340,-.0037
342,-.004
344,-.0039
346,-.0039
348,-.0038
350,-.0038
352,-.0037
354,-.0033
356,-.0031
358,-.0031
360,-.0029
362,-.0031
364,-.0028
366,-.0037
368,-.0035
370,-.0043
372,-.0039
374,-.0036
376,-.0037
378,-.003
380,-.0036
382,-.0036
384,-.0033
386,-.0034
388,-.0032
390,-.0033
392,-.0031
394,-.0029
396,-.0031
398,-.0033
400,-.0028
402,-.0031
404,-.0032
406,-.0031
408,-.003
410,-.003
412,-.0031
414,-.0029
416,-.0031
418,-.0028
420,-.0028
422,-.0031
424,-.003
426,-.003
428,-.0029
430,-.003
432,-.0029
434,-.0029
436,-.0029
438,-.003
440,-.0027
442,-.0031
444,-.0028
446,-.0026
448,-.0026
450,-.0027
452,-.0026
454,-.0025
456,-.0026
458,-.0025
460,-.0024
462,-.0025
464,-.0025
466,-.0025
468,-.0024
470,-.0027
472,-.0024
474,-.0025
476,-.0021
478,-.0022
480,-.0023
482,-.0023
484,-.0024
486,-.0025
488,-.0021
490,-.0021
492,-.0022
494,-.0022
496,-.0022
498,-.0021
500,-.0021
502,-.0025
504,-.002
506,-.0033
508,-.0027
510,-.0028
512,-.0023
514,-.0017
516,-.0023
518,-.0021
520,-.0021
522,-.0024
524,-.0018
526,-.002
528,-.002
530,-.0021
532,-.0018
534,-.0019
536,-.0022
538,-.002
540,-.0019
542,-.0018
544,-.0022
546,-.0018
548,-.0027
550,-.0024
552,-.0024
554,-.0025
556,-.0025
558,-.0023
560,-.0027
562,-.0024
564,-.0021
566,-.0026
568,-.0019
570,-.0023
572,-.0023
574,-.0026
576,-.002
578,-.0028
580,-.0026
582,-.002
584,-.0025
586,-.0022
588,-.0027
590,-.0019
592,-.0017
594,-.0025
596,-.0021
598,-.003
600,-.0024
602,-.0026
604,-.0021
606,-.0019
608,-.0017
610,-.003
612,-.0031
614,-.0017
616,-.0019
618,-.0018
620,-.0019
622,-.0015
624,-.0018
626,-.0018
628,-.0021
630,-.0016
632,-.0023
634,-.002
636,-.002
638,-.002
640,-.0011
642,-.0013
644,-.0011
646,-.0022
648,-.0011
650,-.0018
652,-.0016
654,-.0015
656,-.0014
658,-.0017
660,-.002
662,-.0014
664,-.0018
666,-.0011
668,-.0021
670,-.0018
672,-.0014
674,-.0019
676,-.0021
678,-.0019
680,-.0018
682,-.0016
684,-.0018
686,-.0022
688,-.002
690,-.0021
692,-.0017
694,-.0018
696,-.0021
698,-.0019
700,-.0018
702,-.0021
704,-.0017
706,-.0017
708,-.0009
710,-.0019
712,-.0014
714,-.0008
716,-.0018
718,-.0007
720,-.0009
722,-.0013
724,-.0027
726,-.0015
728,-.0017
730,-.0004
732,-.0022
734,-.0011
736,-.0013
738,-.0016
740,-.0019
742,-.002
744,-.0007
746,-.0026
748,-.0014
750,-.0009
752,-.0012
754,-.0014
756,-.0011
758,-.0009
760,-.0005
762,-.002
764,-.0018
766,-.0009
768,-.0018
770,-.0026
772,-.001
774,-.0019
776,-.0004
778,-.0013
780,-.0012
782,-.0012
784,-.0012
786,-.0009
788,-.0002
790,-.0007
792,-.002
794,-.0013
796,-.0011
798,-.001
800,-.0002
