2017-10-25 kdz010.csv,,amir,25/10/2017 10:58:21,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.0843
202,2.052
204,2.0065
206,1.9324
208,1.8202
210,1.6754
212,1.4951
214,1.2999
216,1.0909
218,.9018
220,.7208
222,.5604
224,.3976
226,.28
228,.2155
230,.1767
232,.1308
234,.0848
236,.0536
238,.0341
240,.0215
242,.0152
244,.0111
246,.0076
248,.0057
250,.0048
252,.0038
254,.0034
256,.0032
258,.0032
260,.0028
262,.0028
264,.0029
266,.0031
268,.0031
270,.0032
272,.003
274,.003
276,.0031
278,.0035
280,.0032
282,.0035
284,.0029
286,.0034
288,.0037
290,.0034
292,.0036
294,.0035
296,.0039
298,.0038
300,.004
302,.0042
304,.004
306,.004
308,.004
310,.0038
312,.0039
314,.0036
316,.0037
318,.0034
320,.0035
322,.0033
324,.0032
326,.0031
328,.0027
330,.0027
332,.003
334,.0027
336,.0023
338,.0028
340,.0026
342,.0028
344,.0028
346,.0028
348,.0027
350,.0027
352,.0028
354,.0029
356,.0031
358,.0029
360,.003
362,.0028
364,.0032
366,.0031
368,.0028
370,.0029
372,.0027
374,.0027
376,.003
378,.0028
380,.0028
382,.0027
384,.0023
386,.0027
388,.0029
390,.0029
392,.0029
394,.0028
396,.0028
398,.0027
400,.0027
402,.0029
404,.0028
406,.0027
408,.0027
410,.0028
412,.0026
414,.0026
416,.0025
418,.0023
420,.0027
422,.0025
424,.0027
426,.0026
428,.0026
430,.0024
432,.0026
434,.0027
436,.0027
438,.0024
440,.0025
442,.0025
444,.0028
446,.0024
448,.0029
450,.0027
452,.0026
454,.0026
456,.0028
458,.0025
460,.0027
462,.0028
464,.0026
466,.0027
468,.0025
470,.0026
472,.0026
474,.0024
476,.0028
478,.0025
480,.0027
482,.0023
484,.0024
486,.0025
488,.0025
490,.0021
492,.0021
494,.0021
496,.0022
498,.0021
500,.0022
502,.0022
504,.0023
506,.0021
508,.0022
510,.0023
512,.0023
514,.0025
516,.0024
518,.0022
520,.0021
522,.0026
524,.0025
526,.0024
528,.0024
530,.0024
532,.0024
534,.0023
536,.0022
538,.0024
540,.0022
542,.0022
544,.0025
546,.0025
548,.002
550,.0018
552,.002
554,.0019
556,.0024
558,.002
560,.0019
562,.002
564,.002
566,.0021
568,.002
570,.0022
572,.002
574,.0024
576,.0018
578,.002
580,.0014
582,.0024
584,.0018
586,.002
588,.0022
590,.0016
592,.0017
594,.0018
596,.0014
598,.0019
600,.0018
602,.0019
604,.0016
606,.0022
608,.0016
610,.0024
612,.0023
614,.0021
616,.0021
618,.0028
620,.002
622,.0026
624,.0022
626,.0022
628,.0017
630,.0016
632,.0016
634,.0016
636,.0015
638,.0021
640,.0008
642,.0018
644,.0019
646,.0023
648,.002
650,.0018
652,.0017
654,.002
656,.0016
658,.001
660,.0021
662,.0027
664,.0022
666,.0019
668,.0017
670,.0024
672,.0021
674,.0016
676,.0015
678,.0019
680,.0016
682,.0017
684,.0018
686,.0017
688,.0019
690,.0016
692,.0014
694,.0019
696,.0017
698,.0018
700,.0016
702,.0015
704,.0012
706,.0012
708,.0014
710,.0018
712,.002
714,.0015
716,.001
718,.0022
720,.0021
722,.0013
724,.0013
726,.0014
728,.002
730,.0015
732,.0019
734,.0021
736,.0012
738,.0021
740,.0024
742,.0018
744,.0022
746,.0021
748,.0023
750,.0017
752,.0014
754,.0022
756,.0013
758,.0023
760,.0021
762,.0015
764,.001
766,.002
768,.0014
770,.0009
772,.0019
774,.0024
776,.0026
778,.0014
780,.0003
782,.0029
784,.0013
786,.0024
788,.0014
790,.003
792,.0011
794,.0017
796,.002
798,.0025
800,.0011
