24102017-dw.csv,,amir,24/10/2017 12:26:39,GENESYS 10S,2L7M233003,2.001
nm,A
200,.0003
202,.0004
204,.0005
206,.0004
208,.0003
210,-.0001
212,-.0001
214,.0003
216,.0003
218,.0001
220,.0004
222,.0004
224,-.0003
226,.0005
228,.0003
230,.0002
232,.0002
234,.0001
236,.0001
238,0
240,.0003
242,.0003
244,.0002
246,.0002
248,.0001
250,.0001
252,.0002
254,.0001
256,.0001
258,.0002
260,.0001
262,-.0001
264,.0002
266,.0002
268,.0001
270,.0002
272,.0005
274,0
276,.0002
278,.0004
280,.0002
282,.0004
284,0
286,.0004
288,.0001
290,.0003
292,.0003
294,.0002
296,-.0002
298,.0008
300,.0002
302,.0003
304,.0002
306,.0002
308,.0001
310,.0001
312,-.0001
314,.0002
316,.0003
318,.0002
320,.0001
322,.0002
324,.0001
326,.0004
328,.0003
330,.0003
332,.0004
334,.0003
336,.0001
338,.0004
340,.0005
342,.0002
344,.0001
346,.0001
348,0
350,.0006
352,.0005
354,.0002
356,.0003
358,.0001
360,.0004
362,.0004
364,.0003
366,.0003
368,.0006
370,-.0003
372,.0001
374,.0004
376,.0003
378,.0005
380,.0003
382,.0008
384,.0002
386,.0001
388,.0002
390,0
392,.0002
394,.0004
396,.0004
398,.0003
400,.0005
402,.0003
404,.0001
406,.0002
408,.0004
410,.0001
412,.0002
414,.0004
416,.0002
418,.0003
420,.0005
422,.0002
424,.0003
426,.0004
428,.0001
430,.0004
432,.0003
434,.0003
436,.0004
438,.0001
440,.0002
442,.0002
444,.0004
446,.0004
448,.0006
450,.0003
452,.0003
454,.0002
456,.0003
458,.0006
460,.0003
462,.0003
464,.0003
466,.0002
468,.0005
470,.0002
472,.0005
474,.0004
476,.0007
478,.0005
480,.0003
482,.0003
484,.0003
486,.0002
488,.0005
490,.0006
492,.0003
494,.0003
496,.0005
498,.0006
500,.0004
502,.0007
504,.0005
506,.0004
508,.0002
510,.0005
512,.0001
514,.0005
516,.0003
518,.0005
520,.0005
522,.0003
524,.0008
526,.0005
528,.0006
530,.0004
532,.0005
534,.0003
536,.0004
538,.0005
540,.0004
542,.0003
544,.0003
546,.0003
548,.0002
550,.0004
552,.0004
554,.0003
556,.0001
558,.0006
560,.0002
562,.0007
564,.0004
566,.0004
568,.0005
570,.0004
572,.0004
574,.0001
576,.0005
578,.0004
580,-.0001
582,.0007
584,.0004
586,-.0004
588,.0004
590,.0002
592,.0008
594,.0001
596,.0011
598,0
600,.0005
602,.0006
604,.0006
606,.0007
608,.0007
610,-.0002
612,.0002
614,.0004
616,.0007
618,.0006
620,.0004
622,.0005
624,.0012
626,.0006
628,.0007
630,.0008
632,.0009
634,.0007
636,.0008
638,.0004
640,.0004
642,.0004
644,.001
646,.0006
648,.0013
650,.0003
652,.0006
654,.0012
656,.0007
658,-.0002
660,.0002
662,.0007
664,.0009
666,.0012
668,-.0001
670,.0004
672,.0006
674,.0004
676,.0003
678,.0002
680,.001
682,.0009
684,.0009
686,0
688,.0003
690,.0007
692,.0007
694,.0003
696,.0003
698,.0006
700,.0002
702,.0005
704,.0004
706,-.0002
708,.0007
710,0
712,.0007
714,.001
716,.0006
718,.0007
720,.0005
722,0
724,-.0001
726,.0006
728,.0007
730,.0006
732,-.0001
734,.0007
736,.0008
738,.0005
740,.0008
742,.0004
744,.0011
746,-.0005
748,.0012
750,.0005
752,.0002
754,.0007
756,.0008
758,.0017
760,.0001
762,-.0004
764,.0007
766,.0002
768,.0001
770,.0007
772,.0001
774,.0002
776,.0012
778,-.0004
780,.0003
782,.0009
784,-.0001
786,.0001
788,.0008
790,.0013
792,.0002
794,0
796,.0008
798,.0006
800,.0007
