3-10-17 DDW.csv,,yuval,03/10/2017 11:30:12,GENESYS 10S,2L7M233003,2.001
nm,A
200,.0008
202,.0008
204,.0009
206,.0009
208,.0008
210,.0006
212,.0006
214,.0006
216,.0006
218,.0007
220,.0006
222,.0007
224,.0007
226,.0006
228,.0007
230,.0006
232,.0007
234,.0007
236,.0007
238,.0006
240,.0006
242,.0006
244,.0007
246,.0007
248,.0007
250,.0007
252,.0007
254,.0007
256,.0005
258,.0005
260,.0007
262,.0008
264,.0007
266,.0007
268,.0006
270,.0007
272,.0006
274,.0005
276,.0006
278,.0005
280,.0005
282,.0006
284,.0006
286,.0006
288,.0006
290,.0007
292,.0006
294,.0005
296,.0007
298,.0005
300,.0006
302,.0005
304,.0006
306,.0008
308,.0005
310,.0006
312,.0006
314,.0005
316,.0007
318,.0006
320,.0006
322,.0007
324,.0006
326,.0006
328,.0008
330,.0004
332,.0005
334,.0006
336,.0005
338,.0004
340,.0006
342,.0005
344,.0004
346,.0006
348,.0006
350,.0003
352,.0008
354,.0006
356,.0003
358,.0007
360,.0005
362,.0005
364,.0006
366,.0006
368,.0005
370,.0006
372,.0004
374,.0004
376,.0006
378,.0008
380,.0005
382,.0006
384,.0006
386,.0005
388,.0006
390,.0006
392,.0004
394,.0005
396,.0005
398,.0003
400,.0003
402,.0005
404,.0007
406,.0003
408,.0006
410,.0004
412,.0005
414,.0006
416,.0005
418,.0005
420,.0004
422,.0004
424,.0005
426,.0004
428,.0005
430,.0006
432,.0004
434,.0007
436,.0005
438,.0005
440,.0006
442,.0005
444,.0006
446,.0005
448,.0006
450,.0006
452,.0005
454,.0006
456,.0005
458,.0004
460,.0006
462,.0006
464,.0006
466,.0003
468,.0005
470,.0007
472,.0007
474,.0006
476,.0004
478,.0004
480,.0006
482,.0005
484,.0007
486,.0006
488,.0004
490,.0006
492,.0005
494,.0004
496,.0006
498,.0005
500,.0002
502,.0006
504,.0001
506,.0005
508,.0005
510,.0007
512,.0006
514,.0005
516,.0006
518,.0004
520,.0005
522,.0005
524,.0006
526,.0006
528,.0005
530,.0005
532,.0005
534,.0005
536,.0006
538,.0005
540,.0006
542,.0004
544,.0005
546,.0005
548,.0004
550,.0006
552,.0004
554,.0006
556,.0008
558,.0001
560,.0008
562,.0005
564,.0006
566,.0005
568,0
570,.0003
572,.0007
574,.0004
576,.0002
578,.0009
580,.0003
582,.0008
584,.0001
586,.0003
588,.0005
590,.0004
592,-.0002
594,.0002
596,.0005
598,.0007
600,.0005
602,.0007
604,.0007
606,.0006
608,.0005
610,.0005
612,.0002
614,.0008
616,0
618,.0004
620,.0003
622,-.0004
624,.0004
626,.0002
628,.0006
630,0
632,.0002
634,.0003
636,.0011
638,.0004
640,.0001
642,0
644,.0007
646,.0003
648,.0006
650,.0006
652,.0003
654,.0003
656,.0003
658,.0006
660,.0004
662,.0007
664,.0009
666,.0007
668,.0004
670,.0001
672,.0008
674,.0006
676,.0002
678,.0008
680,.0008
682,.0005
684,.0001
686,.0007
688,.0005
690,.0002
692,.0001
694,.0007
696,.0007
698,.0004
700,.0001
702,.0004
704,.0003
706,.0008
708,.0002
710,.0005
712,.0003
714,-.0002
716,.0005
718,.0008
720,.0012
722,.0008
724,-.0011
726,.0002
728,.001
730,.0002
732,.0014
734,.0005
736,-.0002
738,.0006
740,-.0001
742,.0002
744,.0001
746,.0011
748,.0004
750,.0008
752,0
754,.0005
756,-.0006
758,.0005
760,.0013
762,.0004
764,.0003
766,.0003
768,.0014
770,-.0002
772,.0001
774,-.0002
776,.0003
778,.0002
780,-.0003
782,.0018
784,.0006
786,.0011
788,.0011
790,.0007
792,.0007
794,0
796,.0004
798,-.0005
800,.0005
