qp0065.csv,,Amir,03/10/2017 13:16:42,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.3444
202,2.2958
204,2.246
206,2.1695
208,2.0444
210,1.8903
212,1.6899
214,1.4724
216,1.2367
218,1.0244
220,.8117
222,.6365
224,.4483
226,.3121
228,.2411
230,.1968
232,.1411
234,.0908
236,.0548
238,.0324
240,.0178
242,.0108
244,.0058
246,.0024
248,-.0001
250,-.0012
252,-.0022
254,-.0027
256,-.0027
258,-.0028
260,-.0032
262,-.0034
264,-.003
266,-.003
268,-.003
270,-.0028
272,-.0031
274,-.0033
276,-.0027
278,-.0026
280,-.0027
282,-.0025
284,-.0022
286,-.0021
288,-.0019
290,-.0014
292,-.0015
294,-.001
296,-.0008
298,-.0012
300,-.0008
302,-.0006
304,-.0004
306,-.0001
308,-.0002
310,-.0003
312,-.0004
314,-.0005
316,-.0006
318,-.0007
320,-.0007
322,-.0009
324,-.0011
326,-.0012
328,-.001
330,-.0019
332,-.0018
334,-.0018
336,-.0019
338,-.0019
340,-.002
342,-.0016
344,-.0017
346,-.0019
348,-.0017
350,-.0018
352,-.0013
354,-.001
356,-.0011
358,-.0011
360,-.0008
362,-.0012
364,-.0009
366,-.0017
368,-.0012
370,-.0013
372,-.0013
374,-.0015
376,-.0013
378,-.0006
380,-.0009
382,-.0007
384,-.0005
386,-.0006
388,-.0004
390,-.0007
392,-.0006
394,-.0005
396,-.0006
398,-.0005
400,-.0006
402,-.0005
404,-.0003
406,-.0005
408,-.0002
410,-.0002
412,-.0001
414,-.0002
416,-.0002
418,-.0001
420,-.0002
422,-.0004
424,0
426,-.0002
428,-.0001
430,-.0001
432,0
434,-.0001
436,.0001
438,.0001
440,-.0001
442,0
444,.0001
446,.0001
448,-.0001
450,.0003
452,.0002
454,.0003
456,.0005
458,.0003
460,.0003
462,.0002
464,.0003
466,0
468,.0001
470,.0006
472,.0001
474,.0001
476,.0004
478,.0003
480,.0002
482,.0003
484,.0002
486,.0001
488,.0002
490,.0003
492,-.0001
494,0
496,.0004
498,.0003
500,.0004
502,.0003
504,-.0006
506,-.0004
508,.0004
510,.0005
512,.0004
514,.0004
516,.0006
518,.0004
520,.0003
522,.0005
524,.0007
526,.0007
528,.0005
530,.0004
532,.0006
534,.0004
536,.0005
538,.0006
540,.0006
542,.0003
544,.0008
546,.0004
548,0
550,0
552,.0001
554,.0001
556,.0007
558,0
560,0
562,.0005
564,.0004
566,.0004
568,-.0002
570,-.0001
572,.0001
574,.0001
576,.0004
578,.0005
580,.0002
582,.0002
584,-.0001
586,.0002
588,.0007
590,.0004
592,.0001
594,.0001
596,.0003
598,.001
600,.0003
602,.0006
604,.0005
606,.0003
608,.0007
610,.0004
612,0
614,.0014
616,.0006
618,.0009
620,.0005
622,.0004
624,.001
626,.0015
628,.001
630,.0009
632,.0009
634,.0014
636,.001
638,.0007
640,.0008
642,.0004
644,.0004
646,.0011
648,.0013
650,.0007
652,.001
654,.0011
656,.0005
658,.0009
660,.0006
662,.0009
664,.002
666,.0006
668,.0009
670,.0005
672,.0007
674,-.0001
676,.0004
678,.0006
680,.0006
682,.0003
684,.0004
686,.0006
688,.0006
690,.0006
692,.0006
694,.0007
696,.001
698,.0003
700,.0009
702,.0012
704,.0004
706,.0016
708,.0017
710,.0017
712,.0013
714,.0015
716,.0017
718,.0021
720,.0018
722,.0015
724,.0009
726,.001
728,.0008
730,.001
732,.0014
734,.0018
736,.0008
738,.0015
740,.0008
742,.0009
744,.0015
746,.0016
748,.001
750,.002
752,.0016
754,.0012
756,.0014
758,.0006
760,.0013
762,.0015
764,.0012
766,.0014
768,.0015
770,.0011
772,.0014
774,.001
776,.0014
778,-.0001
780,-.0002
782,.001
784,.0015
786,.0012
788,.0014
790,.0012
792,.0018
794,.0001
796,.0016
798,.0007
800,.0009
