2017-11-14 QP0035.csv,,amir,14/11/2017 16:40:46,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.4293
202,2.395
204,2.3602
206,2.28
208,2.1584
210,1.9983
212,1.7974
214,1.5624
216,1.3112
218,1.0714
220,.8512
222,.6497
224,.4397
226,.2974
228,.2289
230,.1834
232,.126
234,.0689
236,.0308
238,.0022
240,-.0118
242,-.016
244,-.0212
246,-.0224
248,-.0217
250,-.0234
252,-.0247
254,-.0266
256,-.0309
258,-.0293
260,-.0246
262,-.0244
264,-.0272
266,-.0287
268,-.0276
270,-.0272
272,-.0279
274,-.0266
276,-.027
278,-.0292
280,-.0291
282,-.0264
284,-.0275
286,-.0259
288,-.027
290,-.0258
292,-.0269
294,-.0272
296,-.0259
298,-.0238
300,-.023
302,-.0234
304,-.0235
306,-.0234
308,-.0237
310,-.023
312,-.022
314,-.0221
316,-.0229
318,-.0219
320,-.0241
322,-.0236
324,-.0233
326,-.0215
328,-.0212
330,-.0219
332,-.0216
334,-.0212
336,-.0214
338,-.0217
340,-.0212
342,-.0216
344,-.0216
346,-.0207
348,-.0219
350,-.0217
352,-.022
354,-.0228
356,-.0227
358,-.0231
360,-.0223
362,-.0207
364,-.0207
366,-.0203
368,-.0201
370,-.0203
372,-.0209
374,-.0214
376,-.0206
378,-.0204
380,-.0206
382,-.0208
384,-.0209
386,-.0209
388,-.0212
390,-.0208
392,-.0203
394,-.0197
396,-.02
398,-.0196
400,-.0205
402,-.0201
404,-.0201
406,-.0201
408,-.0199
410,-.0197
412,-.0195
414,-.0204
416,-.0203
418,-.0219
420,-.0207
422,-.0197
424,-.019
426,-.0185
428,-.0184
430,-.021
432,-.0208
434,-.0203
436,-.0208
438,-.0211
440,-.0203
442,-.0201
444,-.0212
446,-.02
448,-.0197
450,-.0199
452,-.0199
454,-.0198
456,-.0208
458,-.0196
460,-.0194
462,-.0187
464,-.0188
466,-.0188
468,-.0189
470,-.0187
472,-.0185
474,-.0185
476,-.0185
478,-.0192
480,-.0217
482,-.0204
484,-.0192
486,-.0182
488,-.0182
490,-.0181
492,-.0168
494,-.0176
496,-.0173
498,-.0179
500,-.0174
502,-.0176
504,-.0175
506,-.0175
508,-.0179
510,-.0173
512,-.0172
514,-.0172
516,-.0187
518,-.0174
520,-.0175
522,-.0177
524,-.0188
526,-.0192
528,-.017
530,-.0169
532,-.0167
534,-.0173
536,-.0168
538,-.0183
540,-.0178
542,-.0166
544,-.0162
546,-.0161
548,-.0158
550,-.0159
552,-.0167
554,-.0157
556,-.0151
558,-.0163
560,-.016
562,-.0159
564,-.0169
566,-.0164
568,-.0164
570,-.0161
572,-.0157
574,-.0156
576,-.0149
578,-.0152
580,-.0151
582,-.0153
584,-.0153
586,-.0153
588,-.0149
590,-.0151
592,-.015
594,-.0154
596,-.015
598,-.0147
600,-.0148
602,-.016
604,-.016
606,-.0158
608,-.0149
610,-.0146
612,-.014
614,-.0145
616,-.0143
618,-.0146
620,-.0136
622,-.0137
624,-.0152
626,-.0148
628,-.0146
630,-.0149
632,-.0144
634,-.0136
636,-.0138
638,-.0135
640,-.0149
642,-.0138
644,-.015
646,-.0139
648,-.0143
650,-.014
652,-.0137
654,-.0147
656,-.014
658,-.0152
660,-.0142
662,-.0137
664,-.0152
666,-.0144
668,-.0149
670,-.0149
672,-.0149
674,-.0146
676,-.0145
678,-.0143
680,-.0143
682,-.0135
684,-.0133
686,-.0134
688,-.0138
690,-.013
692,-.0136
694,-.014
696,-.0154
698,-.0148
700,-.0139
702,-.0132
704,-.0142
706,-.0152
708,-.014
710,-.0128
712,-.0136
714,-.0138
716,-.0133
718,-.0126
720,-.0131
722,-.0137
724,-.0133
726,-.0129
728,-.0132
730,-.0125
732,-.0132
734,-.0131
736,-.0131
738,-.0135
740,-.0129
742,-.0126
744,-.014
746,-.0123
748,-.0126
750,-.0131
752,-.013
754,-.0133
756,-.0132
758,-.0123
760,-.0115
762,-.0133
764,-.0128
766,-.013
768,-.0126
770,-.0123
772,-.013
774,-.0125
776,-.0121
778,-.0128
780,-.0126
782,-.0124
784,-.0129
786,-.0147
788,-.0122
790,-.0129
792,-.013
794,-.0124
796,-.0128
798,-.0133
800,-.012
