2017-11-28 AAI055.csv,,amir,28/11/2017 16:54:20,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.66
202,1.6141
204,1.5659
206,1.503
208,1.4081
210,1.2908
212,1.1508
214,.9994
216,.8398
218,.6926
220,.5485
222,.4273
224,.3041
226,.2123
228,.1625
230,.1337
232,.0981
234,.0626
236,.0392
238,.0241
240,.0137
242,.0093
244,.0063
246,.0036
248,.0025
250,.0018
252,.0007
254,.0003
256,-.0004
258,-.0007
260,-.0007
262,-.0001
264,-.0005
266,-.0008
268,-.0006
270,-.0007
272,-.0008
274,-.0004
276,-.0005
278,-.0006
280,-.0007
282,-.001
284,-.0007
286,-.0009
288,-.0006
290,-.0007
292,-.0007
294,-.001
296,-.0009
298,-.0007
300,-.0009
302,-.001
304,-.001
306,-.0014
308,-.0014
310,-.0015
312,-.0016
314,-.002
316,-.002
318,-.002
320,-.0026
322,-.0028
324,-.003
326,-.0027
328,-.0044
330,-.0042
332,-.0033
334,-.0049
336,-.0044
338,-.005
340,-.0046
342,-.0049
344,-.0047
346,-.0047
348,-.0044
350,-.0048
352,-.0049
354,-.0038
356,-.004
358,-.0038
360,-.0038
362,-.0037
364,-.0037
366,-.0047
368,-.0049
370,-.0048
372,-.0049
374,-.0047
376,-.005
378,-.0046
380,-.0046
382,-.0047
384,-.005
386,-.0038
388,-.0039
390,-.0039
392,-.0039
394,-.0036
396,-.0037
398,-.0039
400,-.0037
402,-.0037
404,-.004
406,-.004
408,-.0039
410,-.0038
412,-.0038
414,-.004
416,-.004
418,-.004
420,-.0041
422,-.0041
424,-.0038
426,-.0038
428,-.004
430,-.0039
432,-.004
434,-.004
436,-.0038
438,-.0039
440,-.0041
442,-.004
444,-.0037
446,-.0039
448,-.0035
450,-.0038
452,-.0036
454,-.0035
456,-.0037
458,-.0036
460,-.0035
462,-.0033
464,-.0036
466,-.0036
468,-.0035
470,-.0037
472,-.0037
474,-.0035
476,-.0038
478,-.0039
480,-.0038
482,-.0039
484,-.0039
486,-.0036
488,-.0037
490,-.0036
492,-.0038
494,-.0037
496,-.0037
498,-.0035
500,-.0036
502,-.0048
504,-.0048
506,-.0051
508,-.0047
510,-.005
512,-.0035
514,-.0039
516,-.0037
518,-.0036
520,-.0036
522,-.0037
524,-.0037
526,-.0037
528,-.0038
530,-.0035
532,-.0035
534,-.0034
536,-.0034
538,-.0037
540,-.0034
542,-.0033
544,-.0032
546,-.0033
548,-.0042
550,-.0045
552,-.0041
554,-.0044
556,-.0044
558,-.0046
560,-.0041
562,-.0046
564,-.0044
566,-.004
568,-.0044
570,-.004
572,-.0043
574,-.0038
576,-.0042
578,-.0038
580,-.0042
582,-.0041
584,-.0026
586,-.0037
588,-.0038
590,-.003
592,-.0038
594,-.0034
596,-.0028
598,-.0031
600,-.0026
602,-.0032
604,-.003
606,-.003
608,-.003
610,-.0032
612,-.0031
614,-.0026
616,-.0021
618,-.0033
620,-.0033
622,-.0024
624,-.0028
626,-.0028
628,-.0024
630,-.0024
632,-.0033
634,-.0029
636,-.0036
638,-.0025
640,-.0034
642,-.0028
644,-.0024
646,-.0029
648,-.0036
650,-.0035
652,-.0028
654,-.003
656,-.0027
658,-.003
660,-.0024
662,-.0021
664,-.0028
666,-.0018
668,-.0018
670,-.0023
672,-.0038
674,-.0035
676,-.0038
678,-.0034
680,-.0035
682,-.003
684,-.004
686,-.0037
688,-.0038
690,-.0037
692,-.003
694,-.0035
696,-.003
698,-.0037
700,-.0036
702,-.0036
704,-.0025
706,-.0027
708,-.0019
710,-.0026
712,-.0033
714,-.0026
716,-.0023
718,-.0023
720,-.0023
722,-.0023
724,-.0019
726,-.0035
728,-.0031
730,-.002
732,-.0025
734,-.0026
736,-.0021
738,-.0024
740,-.0018
742,-.0021
744,-.0029
746,-.0021
748,-.0026
750,-.0028
752,-.0029
754,-.002
756,-.0009
758,-.0009
760,-.0023
762,-.0029
764,-.0024
766,-.0024
768,-.0032
770,-.0029
772,-.0015
774,-.0023
776,-.0019
778,-.0024
780,-.0031
782,-.0031
784,-.0034
786,-.0032
788,-.003
790,-.0013
792,-.0024
794,-.0024
796,-.003
798,-.0016
800,-.0032
