2017-11-28 QP0035.csv,,amir,28/11/2017 16:54:10,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.5077
202,2.4736
204,2.4422
206,2.3772
208,2.253
210,2.0914
212,1.8877
214,1.6521
216,1.395
218,1.1473
220,.9159
222,.711
224,.5032
226,.3502
228,.2703
230,.2212
232,.1584
234,.1001
236,.06
238,.035
240,.0177
242,.0105
244,.0053
246,.0008
248,-.0008
250,-.0019
252,-.0037
254,-.0043
256,-.0055
258,-.0061
260,-.0055
262,-.0048
264,-.0055
266,-.0059
268,-.0057
270,-.0059
272,-.0059
274,-.0053
276,-.0054
278,-.0053
280,-.0055
282,-.0056
284,-.0051
286,-.0052
288,-.005
290,-.0051
292,-.005
294,-.0052
296,-.0052
298,-.0048
300,-.0048
302,-.0049
304,-.0048
306,-.0051
308,-.0052
310,-.0054
312,-.0054
314,-.0059
316,-.0058
318,-.0059
320,-.0065
322,-.007
324,-.0072
326,-.0069
328,-.0083
330,-.0084
332,-.0074
334,-.0087
336,-.0084
338,-.009
340,-.0088
342,-.009
344,-.0087
346,-.0088
348,-.0085
350,-.0089
352,-.0087
354,-.0079
356,-.0081
358,-.0079
360,-.008
362,-.0077
364,-.0075
366,-.0086
368,-.0086
370,-.0088
372,-.0092
374,-.009
376,-.0091
378,-.0087
380,-.0089
382,-.0089
384,-.0091
386,-.0079
388,-.0078
390,-.008
392,-.0079
394,-.0076
396,-.0075
398,-.0076
400,-.0076
402,-.0076
404,-.0077
406,-.0078
408,-.0077
410,-.0076
412,-.0076
414,-.0078
416,-.0079
418,-.0076
420,-.0078
422,-.0076
424,-.0073
426,-.0073
428,-.0071
430,-.0077
432,-.0073
434,-.0074
436,-.0075
438,-.0074
440,-.0076
442,-.0073
444,-.0071
446,-.0072
448,-.007
450,-.0072
452,-.0069
454,-.0068
456,-.007
458,-.0069
460,-.0068
462,-.0066
464,-.0068
466,-.0071
468,-.0067
470,-.0069
472,-.0068
474,-.0068
476,-.0067
478,-.0069
480,-.007
482,-.0074
484,-.0066
486,-.0066
488,-.0067
490,-.0065
492,-.0065
494,-.0066
496,-.0068
498,-.0065
500,-.0065
502,-.0077
504,-.0076
506,-.0078
508,-.0077
510,-.0077
512,-.0063
514,-.0067
516,-.0065
518,-.0065
520,-.0063
522,-.0064
524,-.0067
526,-.0067
528,-.0067
530,-.0058
532,-.0062
534,-.0063
536,-.0063
538,-.0069
540,-.0064
542,-.0062
544,-.0059
546,-.0061
548,-.0071
550,-.0073
552,-.007
554,-.0071
556,-.0072
558,-.0071
560,-.0071
562,-.0075
564,-.007
566,-.007
568,-.0072
570,-.0068
572,-.007
574,-.0067
576,-.0066
578,-.0064
580,-.0072
582,-.007
584,-.0056
586,-.0066
588,-.007
590,-.0064
592,-.0071
594,-.007
596,-.0066
598,-.0062
600,-.0064
602,-.0071
604,-.0071
606,-.0063
608,-.0066
610,-.0064
612,-.006
614,-.0052
616,-.0053
618,-.0055
620,-.0057
622,-.0051
624,-.0055
626,-.0059
628,-.0058
630,-.0052
632,-.0056
634,-.0053
636,-.0055
638,-.005
640,-.0051
642,-.0057
644,-.0054
646,-.0057
648,-.0063
650,-.0063
652,-.0052
654,-.0055
656,-.0044
658,-.0051
660,-.0048
662,-.0039
664,-.0052
666,-.0043
668,-.0053
670,-.0051
672,-.0063
674,-.0067
676,-.0063
678,-.0063
680,-.0062
682,-.0058
684,-.0063
686,-.0059
688,-.0061
690,-.0061
692,-.006
694,-.0064
696,-.0055
698,-.0058
700,-.0058
702,-.0054
704,-.0055
706,-.0046
708,-.005
710,-.0048
712,-.0052
714,-.0049
716,-.0042
718,-.0043
720,-.0049
722,-.005
724,-.0045
726,-.0049
728,-.0038
730,-.0042
732,-.0054
734,-.0046
736,-.0048
738,-.0054
740,-.0039
742,-.0041
744,-.0044
746,-.0046
748,-.0053
750,-.0049
752,-.0045
754,-.005
756,-.0036
758,-.0037
760,-.0049
762,-.0053
764,-.0048
766,-.0043
768,-.0049
770,-.0051
772,-.0039
774,-.0047
776,-.0037
778,-.0058
780,-.0045
782,-.0048
784,-.0039
786,-.0052
788,-.0053
790,-.0032
792,-.0043
794,-.0048
796,-.0057
798,-.0041
800,-.0052
