2017-11-28 SH75.csv,,amir,28/11/2017 17:19:08,GENESYS 10S,2L7M233003,2.001
nm,A
200,.6141
202,.5566
204,.5203
206,.4875
208,.4493
210,.4079
212,.3602
214,.3119
216,.2621
218,.2146
220,.1705
222,.1319
224,.0938
226,.0643
228,.0489
230,.0402
232,.0293
234,.0185
236,.0107
238,.0059
240,.0025
242,.0009
244,0
246,-.0013
248,-.0014
250,-.0017
252,-.0024
254,-.0027
256,-.0034
258,-.0038
260,-.0036
262,-.0032
264,-.0039
266,-.0042
268,-.0043
270,-.0042
272,-.0047
274,-.0042
276,-.0045
278,-.0045
280,-.0047
282,-.0051
284,-.0049
286,-.005
288,-.005
290,-.005
292,-.0051
294,-.0053
296,-.0056
298,-.005
300,-.0051
302,-.0053
304,-.0049
306,-.0052
308,-.0051
310,-.0053
312,-.0051
314,-.0052
316,-.0052
318,-.0051
320,-.0054
322,-.0056
324,-.0057
326,-.0053
328,-.0067
330,-.0068
332,-.0055
334,-.0068
336,-.0068
338,-.0069
340,-.0067
342,-.007
344,-.0069
346,-.007
348,-.0069
350,-.0067
352,-.0069
354,-.0058
356,-.0058
358,-.0058
360,-.0059
362,-.0057
364,-.0056
366,-.0066
368,-.0067
370,-.0068
372,-.0072
374,-.0073
376,-.0075
378,-.0069
380,-.0066
382,-.0069
384,-.0072
386,-.0058
388,-.006
390,-.0058
392,-.0059
394,-.0057
396,-.0058
398,-.0056
400,-.0055
402,-.0056
404,-.0055
406,-.0057
408,-.0057
410,-.0055
412,-.0056
414,-.0058
416,-.0059
418,-.0057
420,-.0058
422,-.0056
424,-.0056
426,-.0055
428,-.0057
430,-.0058
432,-.0057
434,-.0059
436,-.0057
438,-.0057
440,-.0056
442,-.0055
444,-.0057
446,-.0057
448,-.0053
450,-.0055
452,-.0053
454,-.0052
456,-.0054
458,-.0054
460,-.0052
462,-.0051
464,-.0052
466,-.0055
468,-.0052
470,-.0053
472,-.0054
474,-.0052
476,-.0055
478,-.0054
480,-.0054
482,-.0055
484,-.0052
486,-.0051
488,-.005
490,-.005
492,-.0052
494,-.0049
496,-.0051
498,-.0051
500,-.0051
502,-.0061
504,-.0063
506,-.0062
508,-.0063
510,-.0062
512,-.0049
514,-.0052
516,-.005
518,-.005
520,-.0049
522,-.005
524,-.0051
526,-.0051
528,-.0053
530,-.0047
532,-.0048
534,-.0048
536,-.0048
538,-.0051
540,-.0049
542,-.0046
544,-.0045
546,-.0046
548,-.0055
550,-.0059
552,-.0058
554,-.0056
556,-.0058
558,-.0056
560,-.0057
562,-.0057
564,-.0059
566,-.0055
568,-.0056
570,-.0052
572,-.0055
574,-.0052
576,-.0056
578,-.0056
580,-.0054
582,-.0054
584,-.0042
586,-.0053
588,-.0053
590,-.0052
592,-.0058
594,-.0051
596,-.0053
598,-.0053
600,-.0048
602,-.0055
604,-.0053
606,-.0053
608,-.0057
610,-.0057
612,-.0048
614,-.0036
616,-.0043
618,-.0046
620,-.0046
622,-.0044
624,-.0043
626,-.0045
628,-.0039
630,-.0043
632,-.0046
634,-.0037
636,-.0047
638,-.0038
640,-.0042
642,-.0039
644,-.0038
646,-.0041
648,-.0048
650,-.0046
652,-.0036
654,-.0039
656,-.0037
658,-.0039
660,-.0041
662,-.003
664,-.0042
666,-.0032
668,-.0038
670,-.0038
672,-.0051
674,-.0051
676,-.0053
678,-.0051
680,-.0047
682,-.0046
684,-.0049
686,-.0045
688,-.005
690,-.0052
692,-.0048
694,-.0049
696,-.0039
698,-.0046
700,-.0049
702,-.0048
704,-.0037
706,-.004
708,-.0035
710,-.0038
712,-.0047
714,-.0041
716,-.0037
718,-.0035
720,-.003
722,-.0039
724,-.0036
726,-.0042
728,-.0035
730,-.0038
732,-.0039
734,-.0039
736,-.0039
738,-.0035
740,-.0034
742,-.003
744,-.0038
746,-.0036
748,-.0038
750,-.0038
752,-.0038
754,-.0038
756,-.0025
758,-.0028
760,-.0036
762,-.0036
764,-.0031
766,-.0036
768,-.0042
770,-.0044
772,-.0031
774,-.0034
776,-.0033
778,-.0043
780,-.0046
782,-.0045
784,-.0042
786,-.0034
788,-.0037
790,-.0027
792,-.0037
794,-.0042
796,-.0041
798,-.0034
800,-.0052
