2017-12-11 qp0035.csv,,Amir,11/12/2017 15:20:10,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.4843
202,2.4503
204,2.4132
206,2.3428
208,2.2128
210,2.0537
212,1.8525
214,1.6161
216,1.3617
218,1.1192
220,.8936
222,.696
224,.4919
226,.3459
228,.2655
230,.2151
232,.1558
234,.0987
236,.0602
238,.0361
240,.0194
242,.0122
244,.0069
246,.003
248,.0008
250,-.0003
252,-.0012
254,-.0015
256,-.0011
258,-.0013
260,-.0018
262,-.0017
264,-.0014
266,-.0014
268,-.001
270,-.001
272,-.001
274,-.0005
276,0
278,-.0001
280,.0003
282,.0002
284,.0004
286,.0006
288,.0011
290,.0012
292,.0016
294,.0018
296,.0017
298,.0015
300,.0018
302,.0019
304,.0018
306,.0018
308,.0016
310,.0014
312,.0014
314,.0011
316,.0011
318,.0007
320,.0007
322,.0006
324,.0001
326,-.0001
328,-.0006
330,-.001
332,-.0012
334,-.0011
336,-.0011
338,-.0011
340,-.0014
342,-.0011
344,-.001
346,-.0012
348,-.0011
350,-.0012
352,-.0008
354,-.0004
356,-.0005
358,-.0004
360,-.0005
362,-.0006
364,-.0005
366,-.0012
368,-.0012
370,-.0013
372,-.0007
374,-.0011
376,-.0012
378,-.0013
380,-.0012
382,-.0011
384,-.0005
386,-.0003
388,-.0004
390,-.0005
392,-.0003
394,-.0004
396,-.0006
398,-.0005
400,-.0002
402,-.0002
404,-.0001
406,-.0004
408,-.0004
410,-.0004
412,-.0003
414,-.0002
416,-.0001
418,-.0005
420,-.0004
422,-.0004
424,-.0006
426,-.0005
428,-.0008
430,-.0002
432,-.0003
434,-.0002
436,0
438,-.0002
440,-.0003
442,-.0002
444,-.0003
446,-.0002
448,0
450,-.0001
452,-.0001
454,.0003
456,0
458,.0001
460,0
462,-.0001
464,-.0001
466,-.0002
468,0
470,-.0005
472,-.0003
474,-.0002
476,0
478,-.0002
480,.0001
482,.0001
484,-.0002
486,-.0002
488,-.0003
490,-.0003
492,-.0002
494,-.0003
496,0
498,-.0002
500,-.0003
502,-.0007
504,-.0009
506,-.0007
508,-.0004
510,0
512,0
514,.0001
516,-.0001
518,-.0002
520,-.0002
522,-.0002
524,.0002
526,.0002
528,-.0001
530,-.0001
532,-.0002
534,-.0003
536,-.0001
538,-.0001
540,.0001
542,-.0002
544,-.0003
546,-.0002
548,-.0007
550,-.0006
552,-.0005
554,-.0003
556,-.0008
558,-.0007
560,-.0008
562,-.0008
564,-.0009
566,-.0003
568,-.0007
570,-.0004
572,-.0008
574,-.0007
576,-.0005
578,-.001
580,-.0012
582,-.0004
584,-.0011
586,-.0007
588,-.0008
590,-.0003
592,-.0011
594,-.0007
596,-.0003
598,-.0006
600,-.0007
602,-.0001
604,-.0008
606,-.0006
608,-.0007
610,-.0005
612,-.0004
614,-.0002
616,.0005
618,-.0002
620,-.0003
622,.0003
624,-.0006
626,-.0001
628,0
630,-.0002
632,-.0005
634,-.0001
636,-.0003
638,-.0007
640,-.0001
642,0
644,.0002
646,-.0004
648,-.0001
650,.0001
652,-.0001
654,-.0005
656,-.0001
658,-.0003
660,-.0006
662,-.0002
664,0
666,.0005
668,.0005
670,-.0001
672,-.001
674,-.0013
676,-.0007
678,-.0006
680,-.0005
682,-.0013
684,-.0009
686,-.0004
688,-.0005
690,-.0006
692,-.0009
694,-.0006
696,-.0003
698,-.0003
700,-.0004
702,-.0007
704,-.0009
706,-.0003
708,-.0001
710,-.0004
712,-.0004
714,-.0009
716,.0004
718,.001
720,-.0007
722,-.0005
724,-.0001
726,-.0005
728,-.0007
730,-.0006
732,-.0004
734,-.0007
736,-.0008
738,.0002
740,.0002
742,-.0004
744,0
746,0
748,-.0004
750,-.0007
752,.0004
754,.0005
756,-.0003
758,0
760,-.0004
762,-.001
764,.0008
766,-.0003
768,.0001
770,-.0001
772,-.0001
774,.0004
776,-.0013
778,-.0006
780,-.0001
782,.0002
784,-.0005
786,-.0006
788,-.0008
790,-.0006
792,-.0004
794,-.0009
796,-.0005
798,-.0008
800,-.0006
