2017-12-26 aai080.csv,,Amir,26/12/2017 16:04:08,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.5291
202,1.4857
204,1.4387
206,1.3783
208,1.289
210,1.182
212,1.0505
214,.9131
216,.7655
218,.6287
220,.4987
222,.3863
224,.271
226,.1872
228,.1437
230,.1174
232,.0843
234,.0537
236,.0324
238,.019
240,.01
242,.0062
244,.0036
246,.0011
248,.0005
250,.0001
252,-.0006
254,-.0007
256,-.0012
258,-.0015
260,-.0011
262,-.0007
264,-.0008
266,-.001
268,-.0011
270,-.0009
272,-.0009
274,-.0008
276,-.0009
278,-.001
280,-.001
282,-.0012
284,-.0013
286,-.0016
288,-.0013
290,-.0016
292,-.0014
294,-.0017
296,-.0014
298,-.0014
300,-.0013
302,-.0014
304,-.0014
306,-.0016
308,-.0017
310,-.0017
312,-.0016
314,-.0018
316,-.0018
318,-.0021
320,-.0022
322,-.0021
324,-.0024
326,-.0023
328,-.0033
330,-.0034
332,-.0037
334,-.0034
336,-.0035
338,-.0035
340,-.0034
342,-.0036
344,-.0035
346,-.0036
348,-.0037
350,-.0032
352,-.0035
354,-.0025
356,-.0027
358,-.0025
360,-.0025
362,-.0024
364,-.0022
366,-.003
368,-.0029
370,-.0029
372,-.003
374,-.0035
376,-.0034
378,-.0033
380,-.0029
382,-.0032
384,-.0033
386,-.0027
388,-.0023
390,-.0024
392,-.0025
394,-.0026
396,-.0025
398,-.0026
400,-.0027
402,-.0026
404,-.0026
406,-.0023
408,-.0027
410,-.0026
412,-.0024
414,-.0026
416,-.0028
418,-.0024
420,-.0025
422,-.0024
424,-.0024
426,-.0024
428,-.0024
430,-.0023
432,-.0023
434,-.0021
436,-.0023
438,-.0025
440,-.0024
442,-.0025
444,-.0023
446,-.0022
448,-.0021
450,-.0021
452,-.0022
454,-.0022
456,-.0025
458,-.0024
460,-.002
462,-.002
464,-.0021
466,-.0021
468,-.0022
470,-.0026
472,-.0023
474,-.0023
476,-.0025
478,-.0025
480,-.0025
482,-.0025
484,-.002
486,-.0022
488,-.0022
490,-.002
492,-.0024
494,-.0018
496,-.0021
498,-.0021
500,-.0021
502,-.0032
504,-.003
506,-.0031
508,-.0028
510,-.0032
512,-.0019
514,-.002
516,-.002
518,-.0022
520,-.0021
522,-.0022
524,-.0023
526,-.0023
528,-.0021
530,-.0017
532,-.002
534,-.002
536,-.0021
538,-.0022
540,-.0022
542,-.0019
544,-.0017
546,-.0017
548,-.0026
550,-.0026
552,-.0027
554,-.0025
556,-.0032
558,-.0031
560,-.003
562,-.0029
564,-.0026
566,-.0026
568,-.0022
570,-.003
572,-.0028
574,-.0027
576,-.0021
578,-.003
580,-.0033
582,-.0024
584,-.0028
586,-.0024
588,-.0028
590,-.0027
592,-.0022
594,-.0028
596,-.0032
598,-.0023
600,-.0026
602,-.0028
604,-.0025
606,-.0026
608,-.0028
610,-.0026
612,-.0026
614,-.0015
616,-.0018
618,-.0014
620,-.0016
622,-.0023
624,-.0018
626,-.0021
628,-.002
630,-.0019
632,-.0021
634,-.0008
636,-.0019
638,-.0022
640,-.0018
642,-.0018
644,-.0023
646,-.0022
648,-.0023
650,-.0017
652,-.0021
654,-.0023
656,-.0024
658,-.002
660,-.0015
662,-.0018
664,-.0025
666,-.0018
668,-.002
670,-.0018
672,-.0024
674,-.0023
676,-.0031
678,-.0025
680,-.0022
682,-.003
684,-.0028
686,-.0027
688,-.0028
690,-.0023
692,-.0027
694,-.0026
696,-.0022
698,-.0021
700,-.0029
702,-.0023
704,-.002
706,-.0017
708,-.0018
710,-.0016
712,-.0021
714,-.0016
716,-.0018
718,-.0015
720,-.0019
722,-.0011
724,-.0017
726,-.0013
728,-.0017
730,-.0027
732,-.0016
734,-.0016
736,-.0016
738,-.0014
740,-.0018
742,-.0016
744,-.0011
746,-.0012
748,-.0021
750,-.002
752,-.0013
754,-.0015
756,-.0013
758,-.0012
760,-.0013
762,-.0019
764,-.0015
766,-.0003
768,-.0008
770,-.0016
772,-.0014
774,-.0017
776,-.0006
778,-.0015
780,-.0017
782,-.0011
784,-.0017
786,-.0011
788,-.0018
790,-.0016
792,-.0022
794,-.0015
796,-.0018
798,-.0006
800,-.0021
