2018-5-6 qp0060.csv,,amir,07/05/2018 14:37:08,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.3459
202,2.3084
204,2.2751
206,2.2018
208,2.078
210,1.928
212,1.7267
214,1.5047
216,1.2638
218,1.0366
220,.8174
222,.6392
224,.4461
226,.3017
228,.2282
230,.1805
232,.1238
234,.0707
236,.0343
238,.0107
240,-.0037
242,-.0102
244,-.0143
246,-.0175
248,-.0177
250,-.0184
252,-.018
254,-.0178
256,-.0167
258,-.016
260,-.0166
262,-.0173
264,-.0168
266,-.0159
268,-.0159
270,-.0157
272,-.0157
274,-.0161
276,-.0158
278,-.0156
280,-.0154
282,-.0153
284,-.0152
286,-.0145
288,-.0141
290,-.013
292,-.0123
294,-.0111
296,-.0104
298,-.0108
300,-.0102
302,-.0096
304,-.0094
306,-.0093
308,-.0092
310,-.0091
312,-.0086
314,-.0088
316,-.0093
318,-.009
320,-.0091
322,-.0091
324,-.009
326,-.0098
328,-.0097
330,-.0097
332,-.0097
334,-.0091
336,-.0094
338,-.0093
340,-.0092
342,-.009
344,-.0089
346,-.0094
348,-.0089
350,-.0086
352,-.0085
354,-.0084
356,-.0081
358,-.0081
360,-.008
362,-.0082
364,-.0083
366,-.0084
368,-.0083
370,-.0088
372,-.0083
374,-.0079
376,-.0081
378,-.0081
380,-.0083
382,-.0082
384,-.0081
386,-.0077
388,-.0074
390,-.0077
392,-.0076
394,-.0077
396,-.0076
398,-.0078
400,-.0078
