2018-1-11 dw.csv,,Amir,11/01/2018 18:38:45,GENESYS 10S,2L7M233003,2.001
nm,A
200,.0043
202,.0043
204,.0049
206,.0047
208,.0044
210,.0044
212,.0042
214,.0041
216,.0042
218,.0041
220,.0038
222,.0038
224,.0037
226,.0038
228,.0038
230,.0036
232,.0034
234,.0035
236,.0034
238,.0032
240,.0035
242,.0034
244,.0032
246,.0031
248,.0031
250,.003
252,.0029
254,.0028
256,.0029
258,.003
260,.0029
262,.003
264,.0028
266,.0028
268,.0027
270,.0029
272,.0028
274,.0027
276,.0027
278,.0026
280,.0028
282,.0028
284,.0026
286,.0027
288,.0025
290,.0027
292,.0026
294,.0026
296,.0024
298,.0024
300,.0025
302,.0023
304,.0024
306,.0025
308,.0023
310,.0024
312,.0019
314,.0023
316,.0022
318,.0023
320,.0023
322,.0024
324,.0023
326,.0023
328,.0024
330,.0021
332,.0024
334,.002
336,.0024
338,.0022
340,.0019
342,.0022
344,.0022
346,.0021
348,.0017
350,.0018
352,.0025
354,.002
356,.002
358,.0021
360,.0019
362,.0019
364,.0018
366,.0022
368,.0017
370,.002
372,.0018
374,.0017
376,.002
378,.0019
380,.0018
382,.002
384,.0019
386,.0018
388,.0019
390,.0017
392,.0018
394,.0019
396,.0016
398,.0018
400,.0016
