2018-1-14 QP0065.csv,,Amir,21/01/2018 13:06:30,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.3743
202,2.3431
204,2.3143
206,2.2414
208,2.1199
210,1.9661
212,1.762
214,1.5257
216,1.2738
218,1.0253
220,.7961
222,.607
224,.4048
226,.2578
228,.1858
230,.142
232,.0883
234,.0339
236,-.0001
238,-.0227
240,-.0369
242,-.0413
244,-.0437
246,-.046
248,-.0445
250,-.0433
252,-.0434
254,-.0428
256,-.0435
258,-.0436
260,-.0427
262,-.0414
264,-.0425
266,-.043
268,-.0435
270,-.044
272,-.0436
274,-.0436
276,-.0435
278,-.0437
280,-.0431
282,-.0431
284,-.0426
286,-.0419
288,-.041
290,-.0401
292,-.0392
294,-.0385
296,-.0375
298,-.0363
300,-.0357
302,-.0348
304,-.0342
306,-.0337
308,-.0326
310,-.0318
312,-.0311
314,-.0303
316,-.0297
318,-.0293
320,-.0288
322,-.0284
324,-.0285
326,-.0276
328,-.0275
330,-.0267
332,-.0269
334,-.0263
336,-.0257
338,-.0254
340,-.0244
342,-.0241
344,-.0234
346,-.0232
348,-.0224
350,-.0219
352,-.0218
354,-.0216
356,-.0205
358,-.0199
360,-.0197
362,-.0191
364,-.0181
366,-.0189
368,-.0183
370,-.0177
372,-.0179
374,-.0177
376,-.0177
378,-.0173
380,-.0168
382,-.0169
384,-.0166
386,-.0163
388,-.0154
390,-.0157
392,-.0154
394,-.0152
396,-.0152
398,-.0152
400,-.0151
