2018-1-15 KDZ015.csv,,Amir,21/01/2018 13:06:36,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.9502
202,1.9124
204,1.8714
206,1.801
208,1.6851
210,1.5453
212,1.368
214,1.1751
216,.9697
218,.7818
220,.6016
222,.4491
224,.2883
226,.1786
228,.122
230,.0889
232,.0476
234,.0077
236,-.0188
238,-.0348
240,-.0449
242,-.0477
244,-.0489
246,-.0502
248,-.0481
250,-.0466
252,-.0462
254,-.0455
256,-.0458
258,-.0454
260,-.0449
262,-.0432
264,-.0441
266,-.0445
268,-.0448
270,-.0452
272,-.0447
274,-.0443
276,-.0444
278,-.0442
280,-.0437
282,-.0435
284,-.043
286,-.0421
288,-.0409
290,-.0402
292,-.0397
294,-.0389
296,-.0376
298,-.0367
300,-.0366
302,-.0357
304,-.0352
306,-.0352
308,-.0337
310,-.0333
312,-.0324
314,-.0315
316,-.031
318,-.0306
320,-.0301
322,-.0299
324,-.0296
326,-.0292
328,-.029
330,-.0282
332,-.0281
334,-.0275
336,-.027
338,-.0268
340,-.0259
342,-.0258
344,-.025
346,-.0247
348,-.024
350,-.0235
352,-.0234
354,-.0233
356,-.022
358,-.0216
360,-.0214
362,-.0209
364,-.0198
366,-.0205
368,-.0199
370,-.0195
372,-.0197
374,-.0197
376,-.0195
378,-.019
380,-.0185
382,-.0189
384,-.0185
386,-.018
388,-.0173
390,-.0172
392,-.0171
394,-.0169
396,-.0167
398,-.0165
400,-.0167
