2018-1-24 DDW.csv,,AMIR,24/01/2018 17:59:39,GENESYS 10S,2L7M233003,2.001
nm,A
200,-.0011
202,-.0005
204,-.0009
206,-.0007
208,-.0006
210,-.0007
212,-.0008
214,-.0008
216,-.0008
218,-.0006
220,-.0009
222,-.0008
224,-.0006
226,-.0007
228,-.0006
230,-.0006
232,-.0008
234,-.001
236,-.0004
238,-.0005
240,-.0006
242,-.0005
244,-.0004
246,-.0004
248,-.0006
250,-.0005
252,0
254,-.0004
256,-.0002
258,-.0002
260,-.0003
262,-.0003
264,-.0001
266,-.0004
268,-.0006
270,-.0002
272,-.0003
274,-.0004
276,-.0001
278,-.0002
280,-.0008
282,-.0003
284,-.0005
286,-.0002
288,-.0003
290,-.0003
292,-.0005
294,-.0003
296,-.0004
298,-.0004
300,-.0004
302,-.0003
304,-.0003
306,-.0004
308,-.0004
310,-.0004
312,-.0004
314,-.0004
316,-.0003
318,-.0003
320,-.0003
322,-.0003
324,.0001
326,-.0002
328,-.0004
330,0
332,-.0004
334,-.0004
336,-.0006
338,-.0005
340,-.0007
342,-.0004
344,-.0003
346,-.0005
348,0
350,-.0006
352,-.0004
354,-.0003
356,-.0003
358,-.0003
360,-.0003
362,-.0004
364,0
366,-.0006
368,-.0001
370,-.0008
372,-.0005
374,-.0003
376,-.0006
378,-.0005
380,-.0005
382,-.0002
384,-.0003
386,.0001
388,-.0001
390,0
392,-.0002
394,-.0001
396,-.0004
398,-.0001
400,-.0003
