2018-1-30 DW.csv,,AMIR,30/01/2018 15:43:40,GENESYS 10S,2L7M233003,2.001
nm,A
200,.0003
202,.0001
204,.0002
206,.0001
208,-.0001
210,0
212,0
214,.0004
216,.0004
218,.0005
220,.0006
222,.0008
224,.0007
226,.0008
228,.0006
230,.0007
232,.0006
234,.0007
236,.0007
238,.0008
240,.0008
242,.0006
244,.0008
246,.0005
248,.001
250,.0007
252,.0007
254,.0006
256,.0008
258,.0008
260,.0007
262,.0008
264,.0008
266,.0004
268,.0008
270,.0008
272,.0007
274,.0006
276,.0007
278,.0008
280,.001
282,.0004
284,.0005
286,.0006
288,.0007
290,.0006
292,.0006
294,.0006
296,.0009
298,.0008
300,.0006
302,.0007
304,.0007
306,.0006
308,.0004
310,.0006
312,.0005
314,.0004
316,.0006
318,.0007
320,.0006
322,.0004
324,.0006
326,.0005
328,.0005
330,.0005
332,.0007
334,.0006
336,.0007
338,.0005
340,.0002
342,.0005
344,.0001
346,.0005
348,.0007
350,.0008
352,.0006
354,.0007
356,.0008
358,.0008
360,.0007
362,.0005
364,.0007
366,.0007
368,.0003
370,.0004
372,.0005
374,.0008
376,.0008
378,.0005
380,.0007
382,.0004
384,.0008
386,.0007
388,.0006
390,.0007
392,.0006
394,.0005
396,.0005
398,.0004
400,.0005
