2018-1-9 DW.csv,,Amir,09/01/2018 14:31:51,GENESYS 10S,2L7M233003,2.001
nm,A
200,-.0038
202,-.0045
204,-.0048
206,-.005
208,-.0053
210,-.0055
212,-.0057
214,-.0061
216,-.0065
218,-.0073
220,-.0072
222,-.0077
224,-.0083
226,-.0086
228,-.0087
230,-.0084
232,-.0088
234,-.0088
236,-.0091
238,-.0087
240,-.0092
242,-.0092
244,-.0085
246,-.0087
248,-.0085
250,-.0081
252,-.0084
254,-.0079
256,-.0078
258,-.0076
260,-.0074
262,-.0075
264,-.0073
266,-.0069
268,-.0066
270,-.0065
272,-.0063
274,-.0062
276,-.0059
278,-.0056
280,-.0059
282,-.0056
284,-.0053
286,-.0052
288,-.0051
290,-.0052
292,-.005
294,-.005
296,-.0052
298,-.0049
300,-.0048
302,-.0048
304,-.0047
306,-.0048
308,-.0047
310,-.0047
312,-.0045
314,-.0046
316,-.0045
318,-.0044
320,-.0045
322,-.0043
324,-.0045
326,-.0045
328,-.0043
330,-.0046
332,-.0044
334,-.0048
336,-.0043
338,-.0042
340,-.0041
342,-.0044
344,-.0043
346,-.0043
348,-.0043
350,-.0045
352,-.0041
354,-.0038
356,-.0042
358,-.0043
360,-.0043
362,-.0042
364,-.0041
366,-.0041
368,-.0044
370,-.0043
372,-.004
374,-.004
376,-.0037
378,-.0042
380,-.004
382,-.0043
384,-.0037
386,-.0042
388,-.0042
390,-.0042
392,-.0039
394,-.0041
396,-.0039
398,-.004
400,-.0042
