2018-1-9 qp0065.csv,,Amir,09/01/2018 14:31:55,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.5278
202,2.4995
204,2.4571
206,2.3773
208,2.2506
210,2.0919
212,1.8798
214,1.643
216,1.3843
218,1.1402
220,.9079
222,.7111
224,.4988
226,.3511
228,.2712
230,.2221
232,.1598
234,.1019
236,.0629
238,.038
240,.0219
242,.0147
244,.0098
246,.0054
248,.0034
250,.0022
252,.0009
254,.0006
256,0
258,0
260,-.0003
262,-.0005
264,-.0002
266,-.0002
268,-.0001
270,-.0003
272,-.0001
274,0
276,.0003
278,.0004
280,.0002
282,.0008
284,.0008
286,.0008
288,.0009
290,.0012
292,.0014
294,.0013
296,.0013
298,.0015
300,.0015
302,.0015
304,.0017
306,.0013
308,.0012
310,.0011
312,.001
314,.0007
316,.0007
318,.0003
320,.0002
322,0
324,-.0002
326,-.0007
328,-.0004
330,-.0013
332,-.0009
334,-.0013
336,-.001
338,-.0012
340,-.0011
342,-.0013
344,-.0012
346,-.0014
348,-.0014
350,-.0011
352,-.0012
354,-.0007
356,-.0014
358,-.0011
360,-.0013
362,-.001
364,-.0012
366,-.001
368,-.0015
370,-.0015
372,-.0011
374,-.0012
376,-.0007
378,-.0012
380,-.0013
382,-.0013
384,-.0012
386,-.001
388,-.0012
390,-.0013
392,-.0012
394,-.0011
396,-.0012
398,-.0013
400,-.0012
