2018-2-11 QP0035.csv,,AMIR,12/02/2018 15:06:51,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.4649
202,2.4232
204,2.3796
206,2.306
208,2.1775
210,2.0198
212,1.8155
214,1.5795
216,1.3333
218,1.1035
220,.8763
222,.6862
224,.4856
226,.3405
228,.2653
230,.2169
232,.1587
234,.1026
236,.0644
238,.0399
240,.0239
242,.0169
244,.0116
246,.0076
248,.0053
250,.004
252,.0027
254,.0023
256,.0018
258,.0015
260,.0015
262,.0015
264,.0012
266,.0019
268,.0015
270,.0013
272,.0015
274,.0015
276,.0015
278,.0017
280,.0017
282,.0018
284,.0019
286,.0019
288,.002
290,.0022
292,.0022
294,.0023
296,.0022
298,.0022
300,.0021
302,.0021
304,.002
306,.0018
308,.0017
310,.0015
312,.0014
314,.0011
316,.0008
318,.0005
320,.0001
322,0
324,-.0001
326,-.0002
328,-.0011
330,-.0012
332,-.0014
334,-.0012
336,-.0014
338,-.0015
340,-.0012
342,-.0014
344,-.0013
346,-.0016
348,-.0012
350,-.0016
352,-.0015
354,-.0013
356,-.001
358,-.0012
360,-.0011
362,-.0009
364,-.0011
366,-.0012
368,-.0014
370,-.0017
372,-.002
374,-.0018
376,-.0017
378,-.0017
380,-.002
382,-.002
384,-.0021
386,-.002
388,-.0014
390,-.0016
392,-.0015
394,-.0013
396,-.0015
398,-.0013
400,-.0015
