2018-2-20 aai080.csv,,Amir,28/02/2018 16:16:48,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.5207
202,1.475
204,1.4307
206,1.3692
208,1.2843
210,1.1755
212,1.0457
214,.9108
216,.7635
218,.6307
220,.4987
222,.3878
224,.2715
226,.1919
228,.1459
230,.1191
232,.0869
234,.0559
236,.0347
238,.0216
240,.013
242,.0089
244,.0063
246,.004
248,.0026
250,.002
252,.0017
254,.0013
256,.0014
258,.0013
260,.001
262,.001
264,.001
266,.0009
268,.001
270,.0013
272,.0008
274,.0009
276,.0009
278,.001
280,.0009
282,.0006
284,.0007
286,.0006
288,.0005
290,.0006
292,.0008
294,.0008
296,.0007
298,.0007
300,.0006
302,.0005
304,.0007
306,.0006
308,.0005
310,.0005
312,.0004
314,0
316,.0002
318,.0001
320,0
322,-.0002
324,-.0002
326,-.0004
328,-.001
330,-.0012
332,-.0011
334,-.0015
336,-.0011
338,-.0013
340,-.0013
342,-.0013
344,-.0013
346,-.0018
348,-.0015
350,-.0013
352,-.0012
354,-.0016
356,-.0003
358,-.0002
360,-.0002
362,-.0004
364,-.0004
366,-.001
368,-.0006
370,-.001
372,-.0011
374,-.0012
376,-.0012
378,-.0011
380,-.0014
382,-.0014
384,-.0009
386,-.0006
388,-.0003
390,-.0003
392,-.0003
394,-.0005
396,-.0004
398,-.0005
400,-.0003
