2018-2-4 qp0060.csv,,AMIR,05/02/2018 13:48:36,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.5282
202,2.4952
204,2.4581
206,2.3868
208,2.2551
210,2.0983
212,1.8865
214,1.6492
216,1.3928
218,1.1451
220,.9144
222,.7166
224,.5054
226,.3574
228,.2779
230,.2287
232,.1663
234,.1094
236,.0696
238,.0451
240,.0286
242,.021
244,.0158
246,.0118
248,.0095
250,.0084
252,.007
254,.0064
256,.006
258,.0055
260,.0058
262,.0054
264,.0056
266,.0056
268,.0056
270,.0057
272,.0057
274,.006
276,.0059
278,.006
280,.0058
282,.0059
284,.0062
286,.0061
288,.0061
290,.006
292,.0061
294,.0064
296,.0062
298,.0063
300,.0062
302,.0062
304,.0063
306,.006
308,.0057
310,.0057
312,.0054
314,.0053
316,.0051
318,.0048
320,.0047
322,.0044
324,.0043
326,.0044
328,.0039
330,.0039
332,.0035
334,.0034
336,.0036
338,.0036
340,.0032
342,.0035
344,.0034
346,.0034
348,.0035
350,.004
352,.0036
354,.0035
356,.0034
358,.0036
360,.0033
362,.0034
364,.0035
366,.0033
368,.0035
370,.0035
372,.0031
374,.003
376,.0031
378,.0031
380,.0032
382,.0031
384,.0033
386,.0031
388,.0032
390,.0033
392,.0032
394,.0028
396,.0033
398,.003
400,.0031
