2018-2-7 qo0065.csv,,amir,08/02/2018 14:40:23,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.3905
202,2.3563
204,2.3198
206,2.2431
208,2.1178
210,1.9612
212,1.7559
214,1.5344
216,1.2872
218,1.0675
220,.8447
222,.6605
224,.4643
226,.326
228,.2511
230,.2052
232,.1479
234,.0939
236,.0579
238,.0343
240,.0186
242,.012
244,.0072
246,.0033
248,.0019
250,.0008
252,-.0005
254,-.0009
256,-.0016
258,-.0019
260,-.0016
262,-.0012
264,-.0013
266,-.0013
268,-.0012
270,-.0013
272,-.001
274,-.0008
276,-.0009
278,-.0009
280,-.0007
282,-.0004
284,-.0005
286,-.0001
288,.0002
290,-.0001
292,0
294,.0002
296,.0002
298,.0004
300,.0004
302,.0006
304,.0004
306,.0002
308,.0001
310,-.0002
312,-.0002
314,-.0003
316,-.0003
318,-.0007
320,-.0005
322,-.0007
324,-.0009
326,-.0014
328,-.0016
330,-.0019
332,-.002
334,-.002
336,-.0016
338,-.0019
340,-.0019
342,-.0017
344,-.0019
346,-.0016
348,-.0017
350,-.002
352,-.0013
354,-.0015
356,-.0014
358,-.0014
360,-.0015
362,-.0015
364,-.0011
366,-.0013
368,-.0014
370,-.0013
372,-.0013
374,-.0014
376,-.0013
378,-.0013
380,-.0013
382,-.0011
384,-.0013
386,-.001
388,-.0014
390,-.0012
392,-.0013
394,-.0012
396,-.0015
398,-.0015
400,-.0011
