2018-2-8 ddw.csv,,amir,08/02/2018 14:40:17,GENESYS 10S,2L7M233003,2.001
nm,A
200,-.0165
202,-.0141
204,-.0115
206,-.0101
208,-.0089
210,-.0077
212,-.0069
214,-.0061
216,-.0055
218,-.005
220,-.0045
222,-.0045
224,-.0037
226,-.0037
228,-.0034
230,-.0027
232,-.0021
234,-.0023
236,-.0022
238,-.0022
240,-.0022
242,-.002
244,-.0017
246,-.0018
248,-.0014
250,-.0013
252,-.0015
254,-.0015
256,-.0018
258,-.0017
260,-.0013
262,-.0007
264,-.0013
266,-.0014
268,-.0012
270,-.0014
272,-.0014
274,-.001
276,-.0011
278,-.0011
280,-.0011
282,-.0012
284,-.0009
286,-.001
288,-.001
290,-.0009
292,-.0011
294,-.0011
296,-.001
298,-.0007
300,-.0009
302,-.0007
304,-.0008
306,-.001
308,-.001
310,-.0008
312,-.001
314,-.0009
316,-.0009
318,-.0009
320,-.0007
322,-.0009
324,-.0008
326,-.0007
328,-.0008
330,-.0011
332,-.0013
334,-.001
336,-.0009
338,-.0009
340,-.0012
342,-.0006
344,-.0009
346,-.0008
348,-.0008
350,-.0008
352,-.0008
354,-.0009
356,-.0006
358,-.0007
360,-.0006
362,-.0006
364,-.0003
366,-.0007
368,-.0009
370,-.0007
372,-.0006
374,-.0007
376,-.0008
378,-.0005
380,-.0007
382,-.0006
384,-.0007
386,.0001
388,-.0005
390,-.0003
392,-.0004
394,-.0002
396,-.0002
398,-.0002
400,-.0002
