2018-1-3 ddw.csv,,Amir,01/03/2018 13:27:45,GENESYS 10S,2L7M233003,2.001
nm,A
200,.0002
202,-.0001
204,-.0005
206,-.0001
208,-.0002
210,-.0003
212,-.0002
214,-.0003
216,-.0003
218,-.0004
220,-.0004
222,-.0003
224,-.0003
226,-.0004
228,-.0003
230,-.0002
232,-.0004
234,-.0001
236,-.0002
238,-.0003
240,-.0002
242,-.0004
244,-.0002
246,-.0003
248,-.0002
250,-.0001
252,-.0002
254,-.0002
256,-.0008
258,-.0003
260,-.0002
262,.0003
264,0
266,-.0002
268,-.0002
270,-.0002
272,-.0001
274,-.0001
276,0
278,-.0001
280,-.0001
282,-.0002
284,-.0001
286,-.0001
288,-.0005
290,0
292,-.0002
294,0
296,0
298,-.0001
300,-.0004
302,0
304,0
306,0
308,-.0001
310,-.0001
312,-.0002
314,0
316,0
318,-.0002
320,0
322,0
324,-.0001
326,-.0004
328,-.0001
330,.0001
332,-.0005
334,-.0005
336,-.0004
338,-.0005
340,-.0005
342,-.0005
344,-.0007
346,-.0006
348,-.0003
350,-.0003
352,-.0005
354,-.0006
356,-.0006
358,-.0005
360,-.0006
362,-.0007
364,-.0007
366,-.0011
368,-.0012
370,-.001
372,-.0006
374,-.0004
376,-.0003
378,-.0006
380,0
382,-.0005
384,-.0007
386,.0001
388,-.0001
390,-.0002
392,-.0003
394,-.0001
396,.0001
398,0
400,.0003
