2018-3-20 aai080.csv,,Amir,22/03/2018 12:47:34,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.4843
202,1.4548
204,1.414
206,1.3559
208,1.2699
210,1.1649
212,1.0364
214,.8965
216,.7504
218,.6151
220,.4881
222,.3775
224,.2636
226,.1798
228,.1369
230,.1103
232,.0789
234,.0487
236,.0269
238,.0143
240,.0058
242,.0022
244,-.0006
246,-.0025
248,-.0034
250,-.004
252,-.0041
254,-.0046
256,-.0045
258,-.0047
260,-.0046
262,-.0044
264,-.0044
266,-.0043
268,-.0042
270,-.0044
272,-.0042
274,-.0042
276,-.0041
278,-.0042
280,-.0043
282,-.0042
284,-.0039
286,-.0038
288,-.0035
290,-.0036
292,-.0035
294,-.0033
296,-.003
298,-.0031
300,-.003
302,-.0032
304,-.0027
306,-.0027
308,-.0029
310,-.0027
312,-.0027
314,-.0027
316,-.0025
318,-.0028
320,-.003
322,-.0028
324,-.0029
326,-.0028
328,-.0033
330,-.003
332,-.003
334,-.0032
336,-.0034
338,-.0031
340,-.0032
342,-.003
344,-.003
346,-.003
348,-.0025
350,-.0027
352,-.0027
354,-.0029
356,-.0025
358,-.0024
360,-.0022
362,-.002
364,-.002
366,-.0025
368,-.0022
370,-.0028
372,-.0025
374,-.0026
376,-.0023
378,-.0023
380,-.0021
382,-.0023
384,-.0022
386,-.0021
388,-.0021
390,-.0021
392,-.002
394,-.0021
396,-.002
398,-.0021
400,-.0018
