2018-3-28 DDW1.csv,,AMIR,29/03/2018 13:22:50,GENESYS 10S,2L7M233003,2.001
nm,A
200,0
202,0
204,-.0001
206,.001
208,.0001
210,.0008
212,.0001
214,-.0003
216,-.0001
218,.0002
220,-.0001
222,-.0006
224,-.0004
226,-.0005
228,-.0002
230,-.0002
232,0
234,-.0004
236,-.0001
238,.0002
240,-.0004
242,-.0001
244,-.0003
246,-.0001
248,-.0001
250,-.0001
252,-.0003
254,-.0003
256,0
258,-.0002
260,-.0002
262,-.0003
264,-.0002
266,-.0003
268,-.0001
270,-.0003
272,-.0003
274,-.0002
276,.0002
278,-.0001
280,-.0002
282,-.0001
284,-.0001
286,-.0002
288,-.0001
290,-.0001
292,-.0003
294,-.0005
296,.0001
298,0
300,-.0001
302,.0001
304,-.0005
306,-.0001
308,-.0005
310,-.0004
312,0
314,-.0001
316,-.0006
318,-.0002
320,0
322,-.0003
324,-.0001
326,-.0001
328,-.0003
330,-.0003
332,-.0002
334,-.0001
336,-.0001
338,-.0005
340,-.0005
342,.0001
344,-.0004
346,-.0005
348,-.0004
350,-.0003
352,-.0004
354,0
356,-.0002
358,-.0004
360,-.0003
362,-.0002
364,-.0003
366,-.0004
368,-.0005
370,-.0009
372,-.0011
374,-.001
376,-.001
378,-.0006
380,-.0005
382,-.0009
384,-.0009
386,-.0004
388,-.0006
390,-.0005
392,-.0004
394,-.0003
396,-.0003
398,-.0004
400,-.0003
