2018-3-28 QP0060.csv,,AMIR,29/03/2018 13:23:06,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.4208
202,2.4053
204,2.3737
206,2.3129
208,2.1965
210,2.0465
212,1.8406
214,1.6069
216,1.3525
218,1.1128
220,.8717
222,.677
224,.4647
226,.3199
228,.2409
230,.1885
232,.1264
234,.0704
236,.0313
238,.0068
240,-.008
242,-.015
244,-.02
246,-.0215
248,-.0233
250,-.0235
252,-.022
254,-.0215
256,-.0196
258,-.0187
260,-.0195
262,-.0199
264,-.0189
266,-.0183
268,-.0183
270,-.0178
272,-.0183
274,-.0184
276,-.0179
278,-.0181
280,-.0176
282,-.0171
284,-.017
286,-.017
288,-.0162
290,-.0152
292,-.0144
294,-.0133
296,-.0128
298,-.0124
300,-.0121
302,-.0115
304,-.0118
306,-.011
308,-.0108
310,-.011
312,-.0111
314,-.0109
316,-.0115
318,-.0112
320,-.0112
322,-.011
324,-.0112
326,-.0116
328,-.0116
330,-.0117
332,-.0112
334,-.011
336,-.0112
338,-.0112
340,-.0112
342,-.0106
344,-.011
346,-.0111
348,-.0108
350,-.0108
352,-.0104
354,-.0103
356,-.0101
358,-.0102
360,-.0098
362,-.0099
364,-.0101
366,-.0102
368,-.01
370,-.0103
372,-.0105
374,-.01
376,-.0101
378,-.0103
380,-.0101
382,-.0101
384,-.0101
386,-.0099
388,-.0096
390,-.009
392,-.009
394,-.0092
396,-.0093
398,-.0089
400,-.0093
