QP0060.csv,,AMIR,11/04/2018 14:30:42,GENESYS 10S,2L7M233003,2.001
nm,A
200,-.0023
202,-.002
204,.0058
206,.0029
208,.0018
210,.0011
212,.0067
214,.0051
216,-.0039
218,.0107
220,.0037
222,.0016
224,-.0048
226,.003
228,-.0013
230,.0004
232,-.0004
234,.0003
236,-.0003
238,-.0007
240,.0003
242,-.0001
244,.0001
246,-.0001
248,-.0002
250,0
252,.0004
254,0
256,.0003
258,.0002
260,-.0001
262,-.0003
264,-.0002
266,0
268,-.0004
270,.0001
272,-.0001
274,.0004
276,.0004
278,-.0004
280,0
282,-.0004
284,-.0001
286,0
288,-.0004
290,-.0002
292,-.0001
294,0
296,-.0004
298,-.0005
300,.0002
302,-.0003
304,-.0003
306,0
308,-.0001
310,-.0003
312,-.0001
314,-.0003
316,.0001
318,.0003
320,-.0001
322,-.0001
324,-.0003
326,-.0002
328,.0001
330,-.0002
332,-.0001
334,0
336,-.0004
338,-.0001
340,0
342,.0001
344,-.0001
346,0
348,.0001
350,.0001
352,0
354,-.0002
356,-.0001
358,-.0005
360,-.0004
362,-.0002
364,.0008
366,-.0004
368,-.0003
370,-.0005
372,-.0002
374,-.0001
376,-.0004
378,-.0006
380,-.0006
382,-.0006
384,-.0006
386,-.0003
388,-.0004
390,-.0003
392,-.0004
394,-.0004
396,-.0003
398,-.0004
400,-.0005
