2018-4-25 aai050.csv,,amir,30/04/2018 14:49:39,GENESYS 10S,2L7M233003,2.001
nm,A
200,-.6967
202,-.625
204,-.5247
206,-.4575
208,-.317
210,-.2731
212,-.2039
214,-.1924
216,-.3228
218,-.2488
220,-.3015
222,-.217
224,-.207
226,-.1457
228,-.1153
230,-.0939
232,-.0698
234,-.0459
236,-.0305
238,-.0216
240,-.0135
242,-.0107
244,-.0084
246,-.0068
248,-.005
250,-.0051
252,-.0047
254,-.0041
256,-.0043
258,-.0045
260,-.004
262,-.0036
264,-.0034
266,-.0038
268,-.0033
270,-.0039
272,-.0037
274,-.0036
276,-.0042
278,-.004
280,-.0046
282,-.0043
284,-.0043
286,-.0044
288,-.0044
290,-.0044
292,-.0045
294,-.0045
296,-.0045
298,-.0045
300,-.0045
302,-.0045
304,-.0046
306,-.0042
308,-.0044
310,-.0043
312,-.0042
314,-.0042
316,-.0043
318,-.004
320,-.004
322,-.0042
324,-.0037
326,-.0038
328,-.0034
330,-.0034
332,-.0034
334,-.0036
336,-.003
338,-.0031
340,-.0035
342,-.003
344,-.0037
346,-.0034
348,-.0034
350,-.0034
352,-.0028
354,-.0032
356,-.003
358,-.0028
360,-.0027
362,-.0026
364,-.0024
366,-.003
368,-.0031
370,-.003
372,-.0026
374,-.003
376,-.0034
378,-.003
380,-.0026
382,-.0026
384,-.0024
386,-.0022
388,-.0029
390,-.0026
392,-.0025
394,-.0027
396,-.0027
398,-.0031
400,-.0033
