2018-05-24 ddw1.csv,,Amir,24/05/2018 14:26:09,GENESYS 10S,2L7M233003,2.001
nm,A
200,-.0033
202,-.0033
204,-.0039
206,-.0038
208,-.0034
210,-.0032
212,-.0028
214,-.0028
216,-.0025
218,-.0026
220,-.0021
222,-.0026
224,-.0019
226,-.0019
228,-.0018
230,-.0021
232,-.0021
234,-.0019
236,-.0019
238,-.0019
240,-.0018
242,-.0018
244,-.0017
246,-.0017
248,-.0016
250,-.0016
252,-.0015
254,-.0016
256,-.0015
258,-.0015
260,-.0017
262,-.0014
264,-.0016
266,-.0016
268,-.0014
270,-.0016
272,-.0014
274,-.0016
276,-.0016
278,-.0014
280,-.0015
282,-.0016
284,-.0015
286,-.0016
288,-.0014
290,-.0015
292,-.0016
294,-.0015
296,-.0016
298,-.0017
300,-.0016
302,-.0014
304,-.0013
306,-.0014
308,-.0014
310,-.0015
312,-.0013
314,-.0014
316,-.0014
318,-.0013
320,-.0014
322,-.0013
324,-.0015
326,-.0016
328,-.0013
330,-.0013
332,-.0008
334,-.0013
336,-.001
338,-.0011
340,-.0015
342,-.0013
344,-.0011
346,-.0009
348,-.0011
350,-.001
352,-.0014
354,-.0008
356,-.001
358,-.0009
360,-.001
362,-.0009
364,-.001
366,-.001
368,-.0011
370,-.0005
372,-.0014
374,-.0006
376,-.0009
378,-.0006
380,-.0008
382,-.0005
384,-.0007
386,-.0008
388,-.0004
390,-.001
392,-.0008
394,-.0007
396,-.0006
398,-.0012
400,-.0006
