2018-5-22 SH75.csv,,Amir,24/05/2018 16:12:38,GENESYS 10S,2L7M233003,2.001
nm,A
200,.741
202,.6979
204,.6662
206,.6326
208,.59
210,.5401
212,.4803
214,.4158
216,.3473
218,.2869
220,.2247
222,.1742
224,.1213
226,.0816
228,.0621
230,.049
232,.0332
234,.0196
236,.0102
238,.0039
240,.0003
242,-.0015
244,-.0031
246,-.0036
248,-.0043
250,-.0047
252,-.0043
254,-.0043
256,-.0038
258,-.0033
260,-.0034
262,-.0035
264,-.0029
266,-.0027
268,-.0025
270,-.0023
272,-.0024
274,-.0026
276,-.0022
278,-.0023
280,-.0022
282,-.0021
284,-.0023
286,-.0023
288,-.0023
290,-.0021
292,-.0019
294,-.0018
296,-.0019
298,-.002
300,-.0019
302,-.0017
304,-.0018
306,-.0017
308,-.0016
310,-.0015
312,-.0013
314,-.0014
316,-.0013
318,-.0015
320,-.0013
322,-.0011
324,-.0012
326,-.0016
328,-.0009
330,-.0009
332,-.0011
334,-.0013
336,-.0011
338,-.0014
340,-.0012
342,-.0012
344,-.0008
346,-.001
348,-.0012
350,-.0012
352,-.0009
354,-.0009
356,-.0011
358,-.0009
360,-.001
362,-.0009
364,-.0012
366,-.0007
368,-.001
370,-.0005
372,-.0013
374,-.0007
376,-.001
378,-.0008
380,-.0009
382,-.0006
384,-.0008
386,-.0008
388,-.0005
390,-.001
392,-.0008
394,-.0009
396,-.001
398,-.0009
400,-.0005
