2018-5-23 AAI080.csv,,Amir,24/05/2018 16:12:59,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.5023
202,1.4597
204,1.4149
206,1.3553
208,1.2684
210,1.1606
212,1.0354
214,.8966
216,.7531
218,.6175
220,.4889
222,.3813
224,.2648
226,.1831
228,.14
230,.1123
232,.0793
234,.0489
236,.0279
238,.0147
240,.0063
242,.0027
244,-.0006
246,-.0023
248,-.0036
250,-.0043
252,-.0044
254,-.0045
256,-.0043
258,-.0039
260,-.0041
262,-.0042
264,-.0038
266,-.0035
268,-.0034
270,-.0034
272,-.0033
274,-.0036
276,-.0035
278,-.0032
280,-.0031
282,-.0031
284,-.0031
286,-.0032
288,-.0029
290,-.0029
292,-.0028
294,-.0026
296,-.0026
298,-.0026
300,-.0025
302,-.0023
304,-.0022
306,-.0024
308,-.0022
310,-.0023
312,-.0023
314,-.0023
316,-.0022
318,-.0025
320,-.0024
322,-.0021
324,-.0024
326,-.0026
328,-.0025
330,-.0023
332,-.0023
334,-.0025
336,-.0023
338,-.0027
340,-.0023
342,-.0022
344,-.0022
346,-.0021
348,-.0022
350,-.0023
352,-.0019
354,-.0018
356,-.0021
358,-.0019
360,-.0017
362,-.0019
364,-.002
366,-.0017
368,-.0019
370,-.0013
372,-.0022
374,-.0015
376,-.0017
378,-.0013
380,-.0016
382,-.0014
384,-.0018
386,-.0019
388,-.0017
390,-.0019
392,-.0017
394,-.0018
396,-.0019
398,-.0018
400,-.0015
