2018-5-23 KDZ015.csv,,Amir,24/05/2018 17:43:50,GENESYS 10S,2L7M233003,2.001
nm,A
200,2.0545
202,2.0178
204,1.9763
206,1.9027
208,1.7871
210,1.6473
212,1.4658
214,1.2799
216,1.0695
218,.8781
220,.7005
222,.5442
224,.3817
226,.2659
228,.2026
230,.1646
232,.1159
234,.0723
236,.0421
238,.0233
240,.0109
242,.0054
244,.0009
246,-.0016
248,-.0035
250,-.0045
252,-.0048
254,-.0053
256,-.0051
258,-.0049
260,-.0053
262,-.0055
264,-.0052
266,-.0052
268,-.0051
270,-.0049
272,-.0048
274,-.0048
276,-.0044
278,-.004
280,-.0038
282,-.0035
284,-.0032
286,-.0031
288,-.0028
290,-.0025
292,-.0023
294,-.0019
296,-.0019
298,-.0019
300,-.0019
302,-.0016
304,-.0017
306,-.0016
308,-.0016
310,-.0017
312,-.0018
314,-.002
316,-.0022
318,-.0024
320,-.0023
322,-.0021
324,-.0025
326,-.0027
328,-.0022
330,-.0024
332,-.0021
334,-.0029
336,-.0022
338,-.0027
340,-.0026
342,-.0025
344,-.0024
346,-.0023
348,-.0027
350,-.0025
352,-.0023
354,-.0019
356,-.0023
358,-.0021
360,-.0021
362,-.002
364,-.0022
366,-.0019
368,-.0022
370,-.0019
372,-.0023
374,-.0021
376,-.0019
378,-.0017
380,-.002
382,-.0017
384,-.0019
386,-.0018
388,-.0017
390,-.002
392,-.0021
394,-.0021
396,-.002
398,-.0022
400,-.0019
