sample	code	conc	rep	date	bac
s1	1-1	100000	1	04/04/2018	E. coli
s2	1-2	100000	2	04/04/2018	E. coli
s3	1-3	100000	3	04/04/2018	E. coli
s4	2-1	50000	1	04/04/2018	E. coli
s5	2-2	50000	2	04/04/2018	E. coli
s6	2-3	50000	3	04/04/2018	E. coli
s7	3-1	10000	1	04/04/2018	E. coli
s8	3-2	10000	2	04/04/2018	E. coli
s9	3-3	10000	3	04/04/2018	E. coli
s10	4-1	5000	1	04/04/2018	E. coli
s11	4-2	5000	2	04/04/2018	E. coli
s12	4-3	5000	3	04/04/2018	E. coli
s13	5-1	1000	1	04/04/2018	E. coli
s14	5-2	1000	2	04/04/2018	E. coli
s15	5-3	1000	3	04/04/2018	E. coli
s16	6-1	500	1	04/04/2018	E. coli
s17	6-2	500	2	04/04/2018	E. coli
s18	6-3	500	3	04/04/2018	E. coli
s19	7-1	250	1	04/04/2018	E. coli
s20	7-2	250	2	04/04/2018	E. coli
s21	7-3	250	3	04/04/2018	E. coli
s22	8-1	125	1	04/04/2018	E. coli
s23	8-2	125	2	04/04/2018	E. coli
s24	8-3	125	3	04/04/2018	E. coli
s25	9-1	62.5	1	04/04/2018	E. coli
s26	9-2	62.5	2	04/04/2018	E. coli
s27	9-3	62.5	3	04/04/2018	E. coli
s28	10-1	31.25	1	04/04/2018	E. coli
s29	10-2	31.25	2	04/04/2018	E. coli
s30	10-3	31.25	3	04/04/2018	E. coli
s31	11-1	15.625	1	04/04/2018	E. coli
s32	11-2	15.625	2	04/04/2018	E. coli
s33	11-3	15.625	3	04/04/2018	E. coli
s34	12-1	7.8125	1	04/04/2018	E. coli
s35	12-2	7.8125	2	04/04/2018	E. coli
s36	12-3	7.8125	3	04/04/2018	E. coli
s37	13-1	3.90625	1	04/04/2018	E. coli
s38	13-2	3.90625	2	04/04/2018	E. coli
s39	13-3	3.90625	3	04/04/2018	E. coli
s40	14-1	1.953125	1	04/04/2018	E. coli
s41	14-2	1.953125	2	04/04/2018	E. coli
s42	14-3	1.953125	3	04/04/2018	E. coli
s43	15-1	0	1	04/04/2018	E. coli
s44	15-2	0	2	04/04/2018	E. coli
s45	15-3	0	3	04/04/2018	E. coli
s46	CDW1	0	1.00	04/04/2018	E. coli
s47	CDW2	0	2.00	04/04/2018	E. coli
s48	1-1	100000	2.00	04/09/2018	E. coli
s49	1-2	100000	2.00	04/09/2018	E. coli
s50	1-3	100000	2.00	04/09/2018	E. coli
s51	2-1	50000	2.00	04/09/2018	E. coli
s52	2-2	50000	2.00	04/09/2018	E. coli
s53	2-3	50000	2.00	04/09/2018	E. coli
s54	3-1	10000	2.00	04/09/2018	E. coli
s55	3-2	10000	2.00	04/09/2018	E. coli
s56	3-3	10000	2.00	04/09/2018	E. coli
